match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,6,Ravindra Jadeja,25,17,0,1,147.05,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,5,Shivam Dube,34,28,4,1,121.42,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,4,Daryl Mitchell,22,18,0,2,122.22,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,3,Ajinkya Rahane,27,19,0,2,142.10,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,2,Rachin Ravindra,37,15,3,3,246.66,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,1,Ruturaj Gaikwad (c),15,15,3,0,100.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,7,Dinesh Karthik,38,26,3,2,146.15,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,6,Anuj Rawat ,48,25,4,3,192.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,5,Cameron Green,18,22,1,0,81.81,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,4,Glenn Maxwell,0,1,0,0,0.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,3,Rajat Patidar,0,3,0,0,0.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,2,Faf du Plessis (c),35,23,8,0,152.17,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,1,Virat Kohli,21,20,0,1,105.00,out,1
Delhi Capitals Vs Punjab Kings,Punjab Kings,8,Harpreet Brar,2,2,0,0,100.00,not_out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,7,Shashank Singh,0,1,0,0,0.00,out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,6,Liam Livingstone,38,21,2,3,180.95,not_out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,5,Jitesh Sharma ,9,9,1,0,100.00,out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,4,Sam Curran,63,47,6,1,134.04,out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,3,Prabhsimran Singh,26,17,5,0,152.94,out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,2,Jonny Bairstow,9,3,2,0,300.00,out,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,1,Shikhar Dhawan (c),22,16,4,0,137.50,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,10,Kuldeep Yadav,1,2,0,0,50.00,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,9,Abishek Porel,32,10,4,2,320.00,not_out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,8,Sumit Kumar,2,9,0,0,22.22,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,7,Axar Patel,21,13,2,1,161.53,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,6,Tristan Stubbs,5,8,0,0,62.50,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,5,Ricky Bhui,3,7,0,0,42.85,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,4,Rishabh Pant (c),18,13,2,0,138.46,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,3,Shai Hope,33,25,2,2,132.00,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,2,Mitchell Marsh,20,12,2,2,166.66,out,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,1,David Warner,29,21,3,2,138.09,out,2
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,9,Pat Cummins (c),0,1,0,0,0.00,not_out,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,8,Marco Jansen,1,1,0,0,100.00,not_out,3
