match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Glenn Maxwell,1,0,7,0,7.00,4,0,1,0,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Cameron Green,3,0,27,2,9.00,5,1,1,3,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Mayank Dagar,2,0,6,0,3.00,6,0,0,0,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Karn Sharma,2,0,24,1,12.00,4,0,3,0,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Alzarri Joseph,3.4,0,38,0,10.36,5,1,2,4,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Yash Dayal,3,0,28,1,9.33,8,3,1,0,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,Mohammed Siraj,4,0,38,0,9.50,9,5,1,1,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,4,0,21,0,5.25,8,1,0,0,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,Mustafizur Rahman,4,0,29,4,7.25,12,3,1,2,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,Maheesh Theekshana,4,0,36,0,9.00,4,1,2,0,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,Tushar Deshpande,4,0,47,0,11.75,10,4,3,5,0,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,Deepak Chahar,4,0,37,1,9.25,10,7,0,2,0,1
Delhi Capitals Vs Punjab Kings,Delhi Capitals,Sumit Kumar,1.2,0,19,0,14.25,2,2,1,2,0,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,Kuldeep Yadav,4,0,20,2,5.00,7,1,0,0,0,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,Axar Patel,4,0,25,0,6.25,5,1,0,0,0,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,Mitchell Marsh,4,0,52,0,13.00,5,5,3,1,0,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,Ishant Sharma,2,0,16,1,8.00,8,3,0,3,0,2
Delhi Capitals Vs Punjab Kings,Delhi Capitals,Khaleel Ahmed,4,0,43,2,10.75,7,8,0,0,0,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,Harshal Patel,4,0,47,2,11.75,7,6,2,0,0,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,Rahul Chahar,4,0,33,1,8.25,6,3,1,0,0,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,Harpreet Brar,3,0,14,1,4.66,7,1,0,0,0,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,Kagiso Rabada,4,0,36,1,9.00,12,1,4,1,0,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,Arshdeep Singh,4,0,28,2,7.00,15,2,2,2,0,2
Delhi Capitals Vs Punjab Kings,Punjab Kings,Sam Curran,1,0,10,0,10.00,3,2,0,1,0,2
Kolkata Knight Riders Vs Sunrisers Hyderabad,Kolkata Knight Riders,Suyash Sharma,2,0,18,0,9.00,3,1,1,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Kolkata Knight Riders,Andre Russell,2,0,25,2,12.50,4,4,1,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Kolkata Knight Riders,Sunil Narine,4,0,19,1,4.75,8,0,0,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Kolkata Knight Riders,Varun Chakravarthy,4,0,55,1,13.75,8,1,7,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Kolkata Knight Riders,Harshit Rana,4,0,33,3,8.25,12,3,2,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Kolkata Knight Riders,Mitchell Starc,4,0,53,0,13.25,8,3,4,2,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Shahbaz Ahmed,1,0,14,0,14.00,2,1,1,0,1,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Mayank Markande,4,0,39,2,9.75,10,1,4,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Pat Cummins,4,0,32,1,8.00,8,3,1,0,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,T Natarajan,4,0,32,3,8.00,9,3,1,3,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Marco Jansen,3,0,40,0,13.33,5,1,4,1,0,3
Kolkata Knight Riders Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,4,0,51,0,12.75,7,4,3,2,1,3
Rajasthan Royals Vs Lucknow Super Giants,Rajasthan Royals,Sandeep Sharma,3,0,22,1,7.33,6,3,0,1,0,4
Rajasthan Royals Vs Lucknow Super Giants,Rajasthan Royals,Yuzvendra Chahal,3,0,25,1,8.33,6,0,2,1,0,4
Rajasthan Royals Vs Lucknow Super Giants,Rajasthan Royals,Avesh Khan,3,0,21,0,7.00,4,0,1,1,0,4
Rajasthan Royals Vs Lucknow Super Giants,Rajasthan Royals,Ravichandran Ashwin,4,0,35,1,8.75,4,1,1,1,0,4
Rajasthan Royals Vs Lucknow Super Giants,Rajasthan Royals,Nandre Burger,3,0,30,1,10.00,8,3,2,0,0,4
Rajasthan Royals Vs Lucknow Super Giants,Rajasthan Royals,Trent Boult,4,0,35,2,8.75,12,4,2,0,0,4
Rajasthan Royals Vs Lucknow Super Giants,Lucknow Super Giants,Ayush Badoni,1,0,6,0,6.00,1,0,0,0,0,4
Rajasthan Royals Vs Lucknow Super Giants,Lucknow Super Giants,Yash Thakur,3,0,43,0,14.33,3,1,4,1,1,4
Rajasthan Royals Vs Lucknow Super Giants,Lucknow Super Giants,Ravi Bishnoi,4,0,38,1,9.50,5,1,3,0,0,4
Rajasthan Royals Vs Lucknow Super Giants,Lucknow Super Giants,Krunal Pandya,4,0,19,0,4.75,6,0,0,0,0,4
Rajasthan Royals Vs Lucknow Super Giants,Lucknow Super Giants,Naveen-ul-Haq,4,0,41,2,10.25,8,4,1,4,0,4
Rajasthan Royals Vs Lucknow Super Giants,Lucknow Super Giants,Mohsin Khan,4,0,45,1,11.25,8,4,3,1,0,4
Gujarat Titans Vs Mumbai Indians,Gujarat Titans,Mohit Sharma,4,0,32,2,8.00,7,3,0,1,0,5
Gujarat Titans Vs Mumbai Indians,Gujarat Titans,Spencer Johnson,2,0,25,2,12.50,3,2,2,0,0,5
Gujarat Titans Vs Mumbai Indians,Gujarat Titans,Sai Kishore,4,0,24,1,6.00,9,1,1,0,0,5
Gujarat Titans Vs Mumbai Indians,Gujarat Titans,Rashid Khan,4,0,23,0,5.75,11,1,1,0,0,5
Gujarat Titans Vs Mumbai Indians,Gujarat Titans,Umesh Yadav,3,0,31,2,10.33,9,4,2,0,0,5
Gujarat Titans Vs Mumbai Indians,Gujarat Titans,Azmatullah Omarzai,3,0,27,2,9.00,10,4,1,2,0,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Gerald Coetzee,4,0,27,2,6.75,7,2,0,0,0,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Naman Dhir,1,0,13,0,13.00,0,2,0,0,0,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Piyush Chawla,3,0,31,1,10.33,4,0,2,1,0,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Shams Mulani,3,0,24,0,8.00,6,1,1,1,0,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Jasprit Bumrah,4,0,14,3,3.50,14,1,0,0,0,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Luke Wood,2,0,25,0,12.50,4,3,1,1,1,5
Gujarat Titans Vs Mumbai Indians,Mumbai Indians,Hardik Pandya,3,0,30,0,10.00,5,5,0,0,0,5
Punjab Kings Vs Royal Challengers Bengaluru,Punjab Kings,Rahul Chahar,1,0,16,0,16.00,1,0,2,0,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Punjab Kings,Harshal Patel,4,0,45,1,11.25,6,4,2,3,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Punjab Kings,Harpreet Brar,4,0,13,2,3.25,12,0,0,0,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Punjab Kings,Kagiso Rabada,4,0,23,2,5.75,13,3,0,1,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Punjab Kings,Arshdeep Singh,3.2,0,40,0,12.00,9,5,2,3,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Punjab Kings,Sam Curran,3,0,30,1,10.00,7,6,0,0,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Glenn Maxwell,3,0,29,2,9.66,6,2,2,0,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mayank Dagar,3,0,34,0,11.33,4,1,3,0,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Cameron Green,2,0,19,0,9.50,3,1,1,1,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Alzarri Joseph,4,0,43,1,10.75,8,4,2,2,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Yash Dayal,4,0,23,1,5.75,13,3,0,2,0,6
Punjab Kings Vs Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mohammed Siraj,4,0,26,2,6.50,12,4,0,0,0,6
Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Matheesha Pathirana,4,0,29,1,7.25,13,2,1,4,0,7
Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Daryl Mitchell,2,0,18,1,9.00,2,2,0,1,0,7
Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Ravindra Jadeja,2,0,15,0,7.50,2,1,0,0,0,7
Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Tushar Deshpande,4,0,21,2,5.25,12,1,1,0,0,7
Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Mustafizur Rahman,4,0,30,2,7.50,10,5,0,0,0,7
Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Deepak Chahar,4,0,28,2,7.00,11,2,1,3,0,7
Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Mohit Sharma,4,0,36,1,9.00,4,2,1,1,0,7
Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Spencer Johnson,4,0,35,1,8.75,8,3,2,0,0,7
Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Sai Kishore,3,0,28,1,9.33,6,0,2,2,0,7
Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Rashid Khan,4,0,49,2,12.25,4,4,3,0,0,7
Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Umesh Yadav,2,0,27,0,13.50,5,3,2,1,0,7
Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Azmatullah Omarzai,3,0,30,0,10.00,7,4,1,1,0,7
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Mayank Markande,4,0,52,0,13.00,5,3,4,1,1,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Umran Malik,1,0,15,0,15.00,2,0,2,1,0,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,Pat Cummins,4,0,35,2,8.75,7,1,2,1,0,8
