name,image,team,battingStyle,bowlingStyle,playingRole,description
Abhishek Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358037.png",Sunrisers Hyderabad,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Abhishek Sharma IPL factfile- Abhishek Sharma was signed by Delhi Daredevils as a 17-year-old in 2018, a week before India's Under-19 squad, of which he was a part, won the World Cup in New Zealand.- He blitzed 46 off 19 balls on his IPL debut against RCB but spent only one season at Delhi, before joining Sunrisers Hyderabad in 2019, where he has remained ever since.- In IPL 2024, Abhishek smashed the fastest IPL fifty for Sunrisers, off 16 balls, as they amassed the highest total in IPL history - 277 - against Mumbai Indians.Abhishek Sharma player profileA clean striker of the ball with a solid game against pace and spin, Abhishek Sharma started off in the middle order but made a smooth transition to the top three for Punjab in domestic cricket and for Sunrisers Hyderabad in the IPL. He's also a handy left-arm spinner who can surprise batters with his backspinning legcutter.He made a name for himself in age-group cricket, first as the leading run-scorer in the Vijay Merchant domestic Under-16 tournament in 2015-16 (where he made an incredible 1200 runs in seven matches), and the next season as India's captain when they won the U-19 Asia Cup title. He also was an integral part of India's U-19 World Cup-winning squad in 2018, scoring 50 and taking 2 for 11 against Bangladesh in the quarter-final.Delhi Daredevils picked him up in the 2018 auction and he smashed 46 off 19 balls in his first IPL game, but lost momentum for a few seasons after that. In 2022, in his fourth season with Sunrisers Hyderabad, Abhishek, now settled in the top order, scored 426 runs at a strike rate of 133. Most memorably, he took 34 off 15 Rashid Khan deliveries in a match against eventual champions Gujarat Titans. A year later, he made 485 runs, with two hundreds and three half-centuries while striking at over 180, as Punjab won their first Syed Mushtaq Ali T20 trophy. Earlier in the tournament, his 112 off 51 balls against Andhra Pradesh powered Punjab to 275 for 6, a tournament record.Another record total followed in the 2024 IPL when he smashed 63 off 23 balls taking Sunrisers to 277 for 3, the highest in IPL history. Still, Abhishek isn't just a limited-overs prospect. On his Ranji Trophy debut in 2017, he scored 94 from No. 8, and In December 2022 he made his first first-class hundred in a draw against Chandigarh."
Travis Head,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321584.png",Sunrisers Hyderabad,Left hand Bat,Right arm Offbreak,Top order Batter,"A talented, aggressive left-hand batter earmarked for big things at a young age, it was Travis Head's second coming as an international cricketer where his career really took off. In late 2021 he was recalled for the Ashes series and made a match-defining 85-ball century at the Gabba - it set the tone for a strong of destructive Test innings while he also reemerged as a white-ball force, so central to Australia's 2023 ODI World Cup plans that they waited for him to recover from a broken hand. In the final against India he made 137 off 120 balls. A cult hero was born.Head earned his first call-up to Australia's squad at the age of 22 for a series of T20Is against India in early 2016 and it was initially the white-ball game where he established himself before Test cricket took over following a debut in 2018. He had made his Sheffield Shield debut at the age of 18 in the 2011-12 season and over the next few summers he established his place in the South Australia batting line-up and was a consistent contributor. In February 2015, Head became their youngest captain at the age of 21. He had been viewed as a future leader ever since he captained South Australia to the Under-19 National Championship title in 2012-13 and was named Player of the Championship. As captain of South Australia he showed maturity beyond his years, and in 2015-16 steered them to their first Sheffield Shield final in 20 years.In 2018 he earned his first Test call-up of part of a new look Australia side which faced Pakistan in the UAE. He played 16 consecutive Tests, scoring a maiden hundred against Sri Lanka in Canberra, before missing the final match of the Ashes series but returned for the home season and notched a second ton in the Boxing Day Test against New Zealand.He was dropped again midway through the 2020-21 series against India but remained prolific at domestic level. The following season he was preferred ahead of Usman Khawaja for the final middle-order spot and would go on to claim the Compton-Miller medal as Player of the Series despite missing the Sydney Test with Covid. He found life tougher on the subcontinent but it was still a surprising decision to omit him for the first Test against India in early 2023. The absence lasted one match and he was elevated to open the batting. Back in his traditional middle-order role away from Asia, he continued the trend of match-defining centuries with a brilliant 163 in the World Test Championship final against India at The Oval. Later that year he would have two medals around his neck.
ESPNcricinfo staff"
Rahul Tripathi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356821.1.png",Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Top order Batter,"A technically correct middle-order batter, Rahul Tripathi came to the game in the footsteps of his father, an army man who in his time turned out for Uttar Pradesh in junior cricket and also played at university level. After his father was transferred to Pune in the course of his service, Tripathi cut his teeth at Deccan Gymkhana, one of the oldest clubs in the city, and got his start in domestic cricket with Maharashtra in 2012.  In the two seasons starting 2014-15, he made just north of 1000 runs for them at 40 from 17 games. A few seasons on, he was the side's top scorer in the Ranji Trophy in 2018-19, with 504 runs.Tripathi's IPL career began with Rising Pune Supergiant in 2017, when he came into the tournament fresh off smashing 157 runs in three innings in the Vijay Hazare Trophy, and produced seven scores of over 30 in eight innings on the trot. After a capable if not spectacular season at Rajasthan Royals and two more of the same with Kolkata Knight Riders, he took it up a gear for Sunrisers Hyderabad in 2022, with six scores of 30-plus."
Aiden Markram,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322067.png",Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. He did well against tougher opposition as well, making 94 in a comprehensive win over India in Centurion in January 2018 and two big hundreds against Australia in the contentious Sandpapergate series two months later. But overseas success took a while to come - after disappointing tours of India and Sri Lanka, Markram made his first away Test hundred in a second-innings effort in Rawalpindi in February 2021, showing he had the technique to navigate pitches that turned and stayed low. His 108 gave South Africa a fighting chance, but they eventually lost the series 2-0. A batter of class and composure, aggressive and strong on the off side, Markram did well in limited-overs cricket as well. In 2021, he was South Africa's leading run-maker in ODIs, had a stellar T20 World Cup,  and was named the T20I Player of the Year in Cricket South Africa's awards for the year."
Nitish Kumar Reddy,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314800/314899.png",Sunrisers Hyderabad,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Nitish Kumar Reddy first made headlines when he started the 2017-18 Vijay Merchant Trophy with a triple-century for Andhra, followed by a 345-ball 441 against Nagaland. His 1237 runs there at an average of 176.41 still remains the record highest tally in the tournament's history, and earned him the BCCI's award for best U-16 cricketer that season. As he developed his bowling as a seamer, he also took the new ball for Andhra in senior domestic cricket, and his all-round skills earned the interest of Sunrisers Hyderabad in the IPL. Before the 2023 IPL season, he was bought by SRH for INR 20 lakhs, but in his debut season, bowled five wicketless overs across two games while not getting to bat. However, in IPL 2024, his exploits earned SRH crucial victories in their run to the playoffs; his 64 against Punjab Kings helped SRH win by one run, while his unbeaten 76 against Delhi Capitals ensured a two-run win.
Sreshth Shah"
Heinrich Klaasen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322073.png",Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. Schooled at Menlopark High School and the University of Pretoria, Klaasen made his first-class debut for Northerns in the 2012-13 season and averaged 42.58 in the provincial three-day cup. He scored his first franchise hundred in February 2017: 195 to help Titans beat Dolphins in the penultimate round of the first-class competition.Klaasen made 69 off 30 balls in his second T20I, against India in Centurion in 2018. His first international hundred also came at home, an unbeaten 123 in a big one-day win over Australia in Paarl two years on. In 2023, he stunned the same opposition with a breathtaking display of power-hitting in Centurion to score 174 off 83 balls - the second-highest individual score by a batter playing at No. 5 or lower in ODIs.His phenomenal numbers against slow bowling - he struck at 191 and averaged 132 against spin in the 2023 IPL - have made him a valuable player among T20 franchises. Klaasen made his Test debut in 2019, but opportunities in the format have been few and far between. He got his first national contract in 2021, shortly after captaining a second-string T20I side in Pakistan."
Shahbaz Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340313.png",Sunrisers Hyderabad,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Abdul Samad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339145.png",Sunrisers Hyderabad,Right hand Bat,Legbreak,Batter,
Pat Cummins,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316692.png",Sunrisers Hyderabad,Right hand Bat,Right arm Fast,Bowler,"Pat Cummins player profileEarmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances. By 2023 he had led the team to the World Test Championship and ODI World Cup.Cummins burst onto the scene with a sensational Test debut, taking a match total of seven wickets to set up a thrilling two-wicket win to square the series against South Africa at the Wanderers. He had made his debut for New South Wales during the 2010-11 season and was particularly impressive in his maiden Big Bash season. Touted to be a future leader of Australia's pace attack, he was offered a central contract for 2011-12, becoming the youngest player to be contracted since the current system was introduced in 1998.Then came the injuries. He suffered repeated stress fractures in his lower back and did not play another Test for six years, until the 2017 tour of India. But all the pain and rehab of those intervening years appeared to have been worthwhile as his body toughened up to the rigours of international cricket.In the wake of Australia's ball-tampering scandal he became arguably the nation's shining light in a cricketing sense. He was absent through the various 2018 winter tours immediately after the controversy due to a back injury but was monumental in the losing home series against India and was subsequently rewarded with the Test vice-captaincy against Sri Lanka. He became the No. 1 ranked Test bowler in the world and claimed Australia's coveted Allan Border Medal as the 2018-19 men's cricketer of the year. He was immense during the 2019 Ashes in England and through another home series defeat against India in 2020-21, typified by a relentlessness with ball in hand and tremendous stamina.Having been identified as a future captain, his rise to the position came earlier than expected when Tim Paine resigned shortly before the 2021-22 Ashes. However, in a mark of the cricketer and leader Cummins had become it was, given the circumstances, almost a seamless transition. A few months later he had retained the Ashes and secured victory in Pakistan on Australia's first tour of the country in 24 years.His capacity to learn on the job was highlighted by his success in the ODI role and how he galvanised Australia following a poor start to the 2023 World Cup in India. His dismissal of Virat Kohli in the final silenced a nation.
ESPNcricinfo staffPat Cummins IPL factfile- For one season, Pat Cummins held the record for the fastest fifty in IPL - jointly with KL Rahul - after he got to the mark in 14 balls when playing for Kolkata Knight Riders (KKR) against Mumbai Indians (MI) in 2022. Cummins' record was broken by Rajasthan Royals' (RR) Yashasvi Jaiswal in 2023 by one ball.- For a little under two hours, Cummins was the most expensive player procured at an IPL auction when he was sold to Sunrisers Hyderabad (SRH) for INR 20.50 crore (US$2.47 million approx.) in the auction held a month after he had led Australia to the 2023 ODI World Cup title.- At the same auction, compatriot Mitchell Starc shattered the record when he attracted a winning bid of INR 24.75 crore (US$2.98 million approx.) from Cummins' former team, KKR.- Cummins went on to become the second Australian to lead SRH - after David Warner - despite never having captained any side in a senior T20 competition before.- He was the third Australian captain of an IPL team from Hyderabad. Both Adam Gilchrist, who led Deccan Chargers, and Warner delivered IPL titles before Cummins."
Jaydev Unadkat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322698.png",Sunrisers Hyderabad,Right hand Bat,Left arm Medium,Bowler,"A left-arm fast bowler, Jaydev Unadkat led India Under-19s' attack in the 2010 World Cup in New Zealand. He was first spotted at the  Duleep Sinh School of Cricket in Porbandar, where he impressed his coach Ram Odedra with his bowling action and ability to land the ball on the seam. After the World Cup, Unadkat was handed an IPL contract with Kolkata Knight Riders and he impressed the bowling coach Wasim Akram, who identified him as one for the future. He was picked for India A's tour of England in June 2010 and had a dream first-class debut, taking a match-winning 13 for 103 against West Indies A at Grace Road. A month later, he joined the Indian Test squad in Sri Lanka as a nets bowler and was included in the squad for the year-end tour of South Africa, where he made his Test debut at Centurion. However, it was a forgettable one, as he went wicketless in 26 overs for 101 runs. He was duly dropped from the Test team, and made a return to the domestic circuit. A significant breakthrough came during India's A tour of New Zealand in 2012-13, where he picked up nine List-A wickets at an average of 15.77 with two four-wicket hauls. He then enjoyed a largely successful campaign with Royal Challengers Bangalore, finishing joint-second on the team's wicket-takers list. His consistent performances helped him gain selection for India's tour of Zimbabwe in July 2013, where he made his ODI debut. It proved a largely successful trip, as he picked up eight wickets in five matches. He later played two more ODIs in the upcoming home season - against Australia and West Indies - but went wicketless in both.He spent a considerable time off the field due to a stress fracture he picked up in 2014 and came back in the 2015-16 Ranji Trophy season with as many as 40 wickets that included four five-wicket hauls to charge Saurashtra to the finals. He reveled in the semi-finals with 11 wickets against Assam, days after he was picked by Kolkata Knight Riders for INR 1.6 crore in the IPL auction in February 2016.
 ESPNcricinfo staff"
